file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
isle_sess0131_blockd02_03_sprt1,0.0,4.5,corpus,-43.82465277777778,-53.56802749633789,3.8811693907260953,11.443148868500742
f2bjrlp1,0.0,25.309125,corpus,-46.057409991110234,-45.95317927466498,3.826292561116206,8.11467744819954
f2bjrlp3,0.0,30.7068125,corpus,-46.00267115760339,-46.882624962901815,3.716452463819298,10.329792916197029
f2bjrlp2,0.0,28.6474375,corpus,-45.65880508289703,-45.82013187894396,3.591081407841954,7.894659976710113
isle_sess0131_blockd02_01_sprt1,0.0,4.125,corpus,-43.257769937953995,-52.35940757164588,2.7196525242301144,11.85118774544399
isle_sess0131_blockd02_02_sprt1,0.0,3.875,corpus,-44.82611146907217,-50.9225689570109,2.533814193955675,12.358243745435463
